Area Maximum,Valid Landslide,Activity Velocity,Angle Rupture Surface,Angle Slope Displaced,Angle Slope Prior,Area Minimum,Latitude,Longitude,Length,Scarp,Travel Angle,Volume Maximum,Volume Minimum,Width,Width Rupture,X Coordinate,Y Coordinate
200,1,Extremely Rapid,32,32,35,100,-36.819859,174.746298,20,4,32,200,100,45,45,1755751.32,5923688.18
1,1,Extremely Rapid,40,35,45,600,-36.798134,174.684934,30,5,30,"2,000",1,40,40,1750320.3800000001,5926196.78
1.2,1,Extremely Rapid,40,10,45,800,-36.852885,174.792092,75,1,53,600,200,30,30,1759767.32,5919948.56
300,1,Rapid,35,30,30,200,-36.809204,174.718141,10,2,25,150,80,10,13,1753261.08,5924915.819999999
600,1,Unknown,50,30,30,200,-36.806508,174.690836,50,2,30,"1,250",750,20,20,1750830.53,5925258.359999999
300,1,Extremely Rapid; Very Rapid,35,30,25,200,-36.809761,174.718009,20,2,25,150,80,17,20,1753248.23,5924854.3
150,1,Rapid,45,45,45,100,-36.814291,174.713282,25,1,45,225,100,8,8,1752817.51,5924359.31
350,1,Extremely Rapid,32,28,35,250,-36.790216,174.708104,30,4,30,"1,400",800,16,16,1752403.36,5927038.48
550,1,Extremely Rapid,35,30,35,450,-36.814006,174.713944,20,2,25,600,500,25,25,1752877.1600000001,5924389.8
800,1,Extremely Rapid,40,10,45,500,-36.853101,174.792299,45,1,53,400,100,17,17,1759785.3900000001,5919924.26
4,1,Very Slow,7,10,10,1.8,-36.542706,174.58621,135,0,7,"3,600,000",900,45,45,1741980.75,5954684.37
1.1,1,Extremely Rapid,35,40,35,850,-36.944683,174.663084,50,5,28,"2,000",1.35,25,25,1748087.59,5909972.119999999
NA,0,NA,NA,NA,NA,NA,-37.005714587401606,174.94624821221453,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,NA,NA,NA,NA,NA,-36.665443755779414,174.7825123620592,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,NA,NA,NA,NA,NA,-36.80072822403163,174.68540391674264,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,NA,NA,NA,NA,NA,-36.72474743369967,174.71996379805728,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,NA,NA,NA,NA,NA,-36.76174513315782,174.82553987553342,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,NA,NA,NA,NA,NA,-36.92258909698576,174.9061632074788,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,NA,NA,NA,NA,NA,-36.860416658408944,174.61734105398878,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,NA,NA,NA,NA,NA,-36.813017916586254,174.95305422073227,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,NA,NA,NA,NA,NA,-36.78506056871265,174.85370198920367,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,NA,NA,NA,NA,NA,-36.954662998672575,174.75336266387254,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,NA,NA,NA,NA,NA,-36.72541761947796,174.63733661159873,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,NA,NA,NA,NA,NA,-36.72389589035883,174.87065496429798,NA,NA,NA,NA,NA,NA,NA,NA,NA
